"origin","comb_cbd","comb_cbn","comb_thc","comb_cbg","comb_thcv","comb_cbc"
"Oakland",0.313212,0,16.076502,0.947192,0,0.83824
"Oakland",0.307824,0,19.621034,0.788076,0.319352,0.487996
"Oakland",0.27814,0,13.37422,0.349152,0,0.468288
"Oakland",0.2569,0.084028,13.015318,0.442924,0,0.114968
"Oakland",0.02068,0.02552,17.292104,0.426828,0.106396,0.030536
"Oakland",0.019888,0.021032,16.315364,0.329796,0.114456,0.025872
"Oakland",0.02068,0.012408,16.887018,1.035936,0.066704,0.0271
"Oakland",0.022,0.026928,18.451358,0.533424,0.077176,0.0384
"Oakland",0.020416,0.00968,16.011144,1.131276,0.054208,0.020836
"Oakland",10.965732,0.005192,8.488876,0.542276,0.044804,0.107396
"Oakland",0.024112,0.00704,16.956636,0.671688,0,0.04184
"Oakland",0.034496,0.01408,22.098004,0.96802,0.0752,0.05058
"Oakland",0.03036,0.013552,21.411366,0.845484,0.123392,0.113132
"Oakland",5.266016,0.002288,1.79892,0.147072,0,0.04714
"Oakland",0.08184,0.02288,13.387636,0.51204,0.077908,0.059924
"Oakland",0.033616,0.042616,22.443342,0.26174,0,0.028104
"Oakland",0.03476,0.019712,20.472304,0.863164,0.173232,0.051328
"Oakland",4.42514,0.0495,10.10079,0.536544,0.069096,0.074544
"Oakland",0.020064,0.021912,16.587634,0.34216,0.08004,0.044504
"Oakland",0.01056,0.061428,12.736,0.33632,0.0169,0.062048
"Oakland",0.019008,0.103376,18.163372,0.374792,0.0119,0.126528
"Oakland",0.02464,0.022968,18.350058,1.309184,0.05764,0.037348
"Oakland",0.022792,0.074824,17.217946,0.6432,0.830168,0.083172
"Oakland",0.029744,0.04972,21.038508,0.955608,0.093016,0.037752
"Oakland",0.029568,0.050952,22.056596,0.901676,0.0258,0.067368
"Oakland",0.251152,0,0.110704,0,0,0.000264
"Oakland",0.011088,0.014168,12.676518,0.542504,0.34816,0.044388
"Oakland",0.010296,0.033264,12.218694,0.417728,0.02448,0.048432
"Oakland",0.014784,0.029568,11.664234,0.488352,0.029228,0.050348
"Oakland",0.280808,0,0.14866,0,0,0.002024
"Oakland",0.161076,0,0.078926,0,0,0.000968
"Oakland",15.75018,0,0.467906,0.220676,0,0.570868
"Oakland",0.062108,0.021032,15.47356,0.157912,0.04532,0.042636
"Oakland",0.034512,0.018128,18.16366,0.413216,0.09474,0.021324
"Oakland",0.023076,0.015136,13.541536,0.5352,0.38386,0.039244
"Oakland",0.03244,0.014432,13.967148,0.665524,0.350972,0.049376
"Oakland",0.020944,0.021384,17.050798,1.171764,0.07788,0.04428
"Oakland",0.028336,0.032824,19.508282,0.200252,0.015664,0.019272
"Oakland",0.022088,0.031504,18.690808,0.33498,0.042836,0.028108
"Oakland",0.045056,0.02596,18.620286,0.30176,0.123012,0.039156
"Oakland",13.506636,0.029416,0.523692,0.13702,0,0.061424
"Oakland",0.024992,0.024112,18.863128,0.353368,0.0693,0.020152
"Oakland",0.020328,0.023584,17.008474,0.305716,0.0311,0.016544
"Oakland",0.013992,0.018392,14.208272,0.253232,0.0399,0.02422
"Oakland",0.019008,0.015048,16.753104,0.713576,0.061952,0.028672
"Oakland",0.027104,0.021912,18.430416,0.287564,0.028248,0.053132
"Oakland",0.019804,0.036608,12.37274,0.208468,0.0104,0.01012
"Oakland",0.020416,0.015136,14.668776,0.225152,0.08398,0.017696
"Oakland",0.032736,0.014344,21.845372,0.313768,0.023584,0.02156
"Oakland",0.031856,0.019712,21.184368,0.684392,0.051832,0.034604
"Oakland",5.469304,0.0022,1.625058,0.14358,0,0.035384
"Oakland",0.034932,0.026312,21.098592,0.447432,0.091412,0.037008
"Oakland",0.032032,0.034248,20.155188,0.165792,0.0868,0.036564
"Oakland",0.027104,0.01672,16.60445,0.339964,0.09678,0.035904
"Oakland",0.032472,0.047728,22.176124,0.344708,0.135096,0.047612
"Oakland",8.909736,0.004048,4.92479,0.380608,0,0.065076
"Oakland",0.038584,0.008712,17.522472,0.440368,0.103476,0.019272
"Oakland",0.037224,0.008184,26.776838,0.236284,0.14932,0.029568
"Oakland",0.02906,0.011792,23.011264,1.00484,0.124628,0.05632
"Oakland",0.0308,0.009856,25.159924,0.226384,0.114152,0.02068
"Oakland",0.037136,0.013904,23.541312,0.733628,0.233484,0.021736
"Oakland",0.02948,0.011528,24.962414,0.968444,0.165216,0.023848
"Oakland",0.029568,0.016632,22.478034,0.594556,0.098808,0.030448
"Oakland",0.021824,0.029036,18.110526,0.380612,0.145052,0.025096
"Oakland",0.03334,0.013376,22.712808,0.389048,0.101092,0.024472
"Oakland",0.021384,0.014872,18.212328,0.587272,0.08542,0.024392
"Oakland",0.022612,0.00968,15.859426,0.226892,0.0983,0.019776
"Oakland",0.028992,0.010032,16.30546,0.370468,0.128324,0.028368
"Oakland",0.03792,0.008008,19.052078,0.676104,0.190208,0.062948
"Oakland",0.020808,0.008184,14.091412,0.367408,0.0381,0.052156
"Oakland",0.044976,0.012672,26.863114,1.602052,0.108164,0.074776
"Oakland",0.170368,0.0012,0.1222,0.00396,0,0.00088
"Oakland",0.017072,0.009768,15.149876,0.233984,0.014696,0.021356
"Oakland",0.019184,0.007304,14.743078,0.227892,0.016896,0.01716
"Oakland",0.023128,0.011616,22.576188,1.062192,0.922956,0.070884
"Oakland",0.02308,0.011616,18.972452,0.633792,0.100244,0.029736
"Oakland",0.021296,0.01012,20.796586,0.722376,0.09264,0.064048
"Oakland",0.020516,0.011792,15.70402,0.390652,0.120748,0.034048
"Oakland",0.025696,0.016456,19.515804,0.407248,0.030208,0.060616
"Oakland",0.013184,0.01408,13.101898,0.222284,0.050052,0.02022
"Oakland",0.013732,0.011704,15.185674,0.331772,0.090628,0.054752
"Oakland",0.019272,0.015136,18.219432,0.373992,0.09314,0.028064
"Oakland",6.62272,0,1.994924,0.202968,0,0.133128
"Oakland",9.390924,0.004664,3.816372,0.798952,0,0.23012
"Oakland",0,0.095508,0.382078,0.0169,0,0.1155
"Oakland",0.081048,0.134764,5.596354,0.158048,0,0.17108
"Oakland",0.1962,0,10.124378,0.71316,0,0.05984
"Oakland",10.67044,0.005,4.16784,0.498328,0,0.18262
"Oakland",7.230852,0.004048,3.62798,0.240704,0,0.141488
"Oakland",0,0.121912,0.691078,0.0127,0,0.035
"Oakland",0.004312,0.159312,5.71787,0.11306,0.0103,0.095044
"Oakland",0.011616,0,10.240898,0.678784,0.0512,0.061512
"Oakland",5.648604,0.0339,4.466826,0.462388,0,0.105832
"Oakland",3.828772,0.025304,3.816216,0.196724,0.0094,0.069308
"Oakland",0.032736,0.008888,14.184406,0.394164,0.0166,0.021824
"Oakland",3.474944,0,1.05231,0.076084,0,0.021556
"Oakland",0.061492,0,17.660474,0.407844,0.124672,0.00396
"Oakland",0.051436,0,17.465754,0.34846,0.0956,0.004312
"Oakland",0.047704,0,17.43493,0.395276,0.1133,0.006688
"Oakland",9.122624,0.097416,5.169966,0.631388,0,0.062304
"Oakland",7.24792,0.096096,8.754054,0.705192,0,0.065616
"Oakland",0.176056,0.081664,12.354252,0.399844,0,0.030856
"Oakland",0.275556,0.067232,15.343442,0.402216,0,0.053484
"Oakland",0.256832,0.064592,18.84018,0.567132,0.005632,0.0044
"Oakland",9.122624,0.097416,5.169966,0.631388,0,0.062304
"Oakland",7.24792,0.096096,8.754054,0.705192,0,0.065616
"Oakland",0.176056,0.081664,12.354252,0.399844,0,0.030856
"Oakland",0.275556,0.067232,15.343442,0.402216,0,0.053484
"Oakland",0.256832,0.064592,18.84018,0.567132,0.005632,0.0044
"Oakland",0.330444,0.08786,17.132232,0.349756,0,0.033924
"Oakland",9.099296,0.010472,5.368842,0.425104,0,0.14426
"Oakland",9.261848,0.011,4.385282,0.207888,0,0.134252
"Oakland",0.953864,0.019272,9.491794,0.335348,0,0.116556
"Oakland",0.280592,0,20.22281,0.62646,0,0.045408
"Oakland",0.09944,0.040568,15.663982,0.288908,0,0.124848
"Oakland",0,0.009064,22.125416,0.630444,0,0.012056
"Oakland",0,0.012936,23.592222,0.478896,0,0.01408
"Oakland",0,0.016808,26.987128,0.82308,0,0.013464
"Oakland",0,0.01056,23.727698,1.237284,0,0.011
"Oakland",0,0.01232,20.795798,1.446132,0,0.007744
"Oakland",0,0.00968,19.772832,0.464108,0,0.009504
"Oakland",0,0.009416,19.106428,1.233452,0,0.005896
"Oakland",0,0.016016,19.585858,0.763932,0,0.002992
"Oakland",0,0.013904,22.531302,0.700968,0,0.007128
"Oakland",0,0.011528,18.077226,0.55562,0,0.007568
"Oakland",0,0.012496,20.933284,0.411984,0,0.01144
"Oakland",0,0.010032,16.76546,0.447856,0,0.006952
"Oakland",0.098384,0.06204,21.504874,0.903224,0,0.120812
"Oakland",0.09064,0.01056,14.650492,1.152364,0,0.010208
"Oakland",0.089496,0.012496,13.502262,0.356732,0,0.004488
"Oakland",0.093016,0.0088,16.584862,0.488868,0,0.00616
"Oakland",9.568452,0,5.485604,0.688212,0,0.121972
"Oakland",0.088704,0.013024,13.2044,1.383744,0,0.006424
"Oakland",0.095744,0.015664,16.440108,0.587384,0,0.013552
"Oakland",0.086416,0.015664,13.716284,0.603652,0,0.047812
"Oakland",0.088352,0.032648,20.41541,0.477768,0,0.05896
"Oakland",0.072776,0.02112,10.296476,0.245696,0,0.011176
"Oakland",0,0,17.806572,0.368208,0,0.007656
"Oakland",0.090904,0,16.255588,0.41698,0,0.034408
"Oakland",18.518124,0,0.598622,0.166408,0,0.176984
"Oakland",11.07084,0,4.61388,0.322256,0,0.048136
"Oakland",0.087824,0.014344,15.889532,0.7942,0,0.022968
"Oakland",0,0.025872,10.568728,0.31218,0,0.0154
"Oakland",0.07876,0.007128,8.011116,0.620168,0,0
"Oakland",0.094952,0.011528,10.66568,0.780152,0,0
"Oakland",0.10428,0.018392,20.577066,0.314608,0,0.005368
"Oakland",0.086856,0.013112,17.22635,0.460728,0,0.017776
"Oakland",0.087736,0.016808,16.023674,0.242228,0,0.015928
